active,company_id,reconcile,code,id,child_consol_ids,tax_ids,currency_id,name,note,parent_id:id,currency_mode,user_type,type
VERDADERO,Demo Alfa,,420510000,alfa_448,,,,Insumos Informaticos,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420511000,alfa_449,,,,Programacion y Sistemas,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420512000,alfa_450,,,,Agua y Gas,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420513000,alfa_451,,,,Telefonia Fija e Internet,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420514000,alfa_452,,,,Telefonia Movil Adm.,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420515000,alfa_453,,,,Serv. Postales y Encomiendas,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420516000,alfa_454,,,,Serv. Varios y de Terceros,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420517000,alfa_455,,,,Limpieza y Desinfeccion,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420518000,alfa_456,,,,Dif. de Caja,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420519000,alfa_457,,,,Cursos de Capacitacion Adm.,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420520000,alfa_458,,,,Perdidas por Robo,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420521000,alfa_459,,,,Otros Gastos,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420522000,alfa_460,,,,Alquileres Oficinas,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420523000,alfa_461,,,,Reparaciones Varias,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420524000,alfa_462,,,,Energia Electrica,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,420525000,alfa_463,,,,Seguros,,alfa_438,current,Payable,payable
VERDADERO,Demo Alfa,,4206*,alfa_464,,,,GASTOS FINANCIEROS,,alfa_373,current,View,view
VERDADERO,Demo Alfa,,420601000,alfa_465,,,,Intereses Comerciales,,alfa_464,current,Payable,payable
VERDADERO,Demo Alfa,,420602000,alfa_466,,,,Gastos Bancarios,,alfa_464,current,Payable,payable
VERDADERO,Demo Alfa,,420603000,alfa_467,,,,Imp. Debitos y Creditos Bancar,,alfa_464,current,Payable,payable
VERDADERO,Demo Alfa,,420604000,alfa_468,,,,Intereses Financieros,,alfa_464,current,Payable,payable
VERDADERO,Demo Alfa,,4207*,alfa_469,,,,IMPUESTOS,,alfa_373,current,View,view
VERDADERO,Demo Alfa,,420701000,alfa_470,,,,Impuestos a los Ing. Brutos,,alfa_469,current,Payable,payable
VERDADERO,Demo Alfa,,420702000,alfa_471,,,,Impuesto Municipal,,alfa_469,current,Payable,payable
VERDADERO,Demo Alfa,,420703000,alfa_472,,,,Impuesto a las Ganancias,,alfa_469,current,Payable,payable
VERDADERO,Demo Alfa,,420704000,alfa_473,,,,Multas,,alfa_469,current,Payable,payable
VERDADERO,Demo Alfa,,420705000,alfa_474,,,,Intereses Resarcitorios,,alfa_469,current,Payable,payable
VERDADERO,Demo Alfa,,420706000,alfa_475,,,,Impuestos Internos,,alfa_469,current,Payable,payable
VERDADERO,Demo Alfa,,4208*,alfa_476,,,,PREVISIONES,,alfa_373,current,View,view
VERDADERO,Demo Alfa,,420801000,alfa_477,,,,Prevision Sac,,alfa_476,current,Payable,payable
