active,company_id,reconcile,code,id,child_consol_ids,tax_ids,currency_id,name,note,parent_id:id,currency_mode,user_type,type
VERDADERO,Demo AVION,,42*,avion_373,,,,EGRESOS,,avion_366,current,View,view
VERDADERO,Demo AVION,,4201*,avion_374,,,,COSTO DE MERCADERIA VENDIDA,,avion_373,current,View,view
VERDADERO,Demo AVION,,420101000,avion_375,,,,Costo de Mercaderia Vendida Cta,,avion_374,current,Expense,other
VERDADERO,Demo AVION,,4202*,avion_376,,,,GASTOS DE PRODUCCION,,avion_373,current,View,view
VERDADERO,Demo AVION,,420201000,avion_377,,,,Sueldos de Produccion,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420202000,avion_378,,,,Cargas Sociales de Produccion,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420203000,avion_379,,,,Gratificacion Extraordinaria,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420204000,avion_380,,,,Horas Extras,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420205000,avion_381,,,,Soiva y Foniva,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420206000,avion_382,,,,Refrig y Comida de Produccion,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420207000,avion_383,,,,Viaticos de prod y fletes int,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420208000,avion_384,,,,Mobiliario para Produccion,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420209000,avion_385,,,,Manten. de maquinas de coser,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420210000,avion_386,,,,Capacitacion de Produccion,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420211000,avion_387,,,,Discontinuos,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420212000,avion_388,,,,Utileria,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420213000,avion_389,,,,Fletes de Materia Prima,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420214000,avion_390,,,,ImprentaLibreria,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420215000,avion_391,,,,Insumos Avios,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420216000,avion_392,,,,Insumos varios para diseno,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420217000,avion_393,,,,Insumos varios para muestras,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420218000,avion_394,,,,Control de Calidad,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420219000,avion_395,,,,Servicio de Confeccion,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420220000,avion_396,,,,Servicio de Bordado,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420221000,avion_397,,,,Servicio de Corte,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420222000,avion_398,,,,Servicio de Estampado,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420223000,avion_399,,,,Servicio de Lavado,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420224000,avion_400,,,,Servicio de Tizado,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420225000,avion_401,,,,Packaging,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420226000,avion_402,,,,Servicio de Ojal y Boton,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420227000,avion_403,,,,Disenador Grafico,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420228000,avion_404,,,,Fotografia,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420229000,avion_405,,,,Modelos,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420230000,avion_406,,,,Produccion Catalogo,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420231000,avion_407,,,,Servicio de Diseno,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420232000,avion_408,,,,Servicio de Moldes,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420233000,avion_409,,,,Servicio de Muestras,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,420234000,avion_410,,,,Diferencia por Ajuste de Stock,,avion_376,current,Payable,payable
VERDADERO,Demo AVION,,4203*,avion_411,,,,GASTOS DE COMERCIALIZACION,,avion_373,current,View,view
VERDADERO,Demo AVION,,420301000,avion_412,,,,Sueldos de Ventas,,avion_411,current,Payable,payable
VERDADERO,Demo AVION,,420302000,avion_413,,,,Cargas Sociales Ventas,,avion_411,current,Payable,payable
VERDADERO,Demo AVION,,420303000,avion_414,,,,Gratif. Extraord. Ventas,,avion_411,current,Payable,payable
VERDADERO,Demo AVION,,420304000,avion_415,,,,Comision de Representantes,,avion_411,current,Payable,payable
VERDADERO,Demo AVION,,420305000,avion_416,,,,Viaticos de Ventas,,avion_411,current,Payable,payable
VERDADERO,Demo AVION,,420306000,avion_417,,,,Refrigerios y Comidas Ventas,,avion_411,current,Payable,payable
VERDADERO,Demo AVION,,420307000,avion_418,,,,Presentaciones Comerciales,,avion_411,current,Payable,payable
VERDADERO,Demo AVION,,420308000,avion_419,,,,Publicidad,,avion_411,current,Payable,payable
VERDADERO,Demo AVION,,420309000,avion_420,,,,Telefonia Movil Ventas,,avion_411,current,Payable,payable
VERDADERO,Demo AVION,,420310000,avion_421,,,,NC Ajustes de Cta Cte Clientes,,avion_411,current,Payable,payable
VERDADERO,Demo AVION,,420311000,avion_422,,,,Gastos de Promocion,,avion_411,current,Payable,payable
VERDADERO,Demo AVION,,4204*,avion_423,,,,GASTOS DE LOGISTICA,,avion_373,current,View,view
VERDADERO,Demo AVION,,420401000,avion_424,,,,Sueldos de Logistica,,avion_423,current,Payable,payable
VERDADERO,Demo AVION,,420402000,avion_425,,,,Cargas Sociales de Logisticas,,avion_423,current,Payable,payable
VERDADERO,Demo AVION,,420403000,avion_426,,,,Gratific. Extraord. Logistica,,avion_423,current,Payable,payable
VERDADERO,Demo AVION,,420404000,avion_427,,,,Viaticos Logistica,,avion_423,current,Payable,payable
VERDADERO,Demo AVION,,420405000,avion_428,,,,Refrig. y Comida Logistica,,avion_423,current,Payable,payable
VERDADERO,Demo AVION,,420406000,avion_429,,,,Packaging Log. Cajas+Bol blan,,avion_423,current,Payable,payable
VERDADERO,Demo AVION,,420407000,avion_430,,,,Ajustes de Stock,,avion_423,current,Payable,payable
VERDADERO,Demo AVION,,420408000,avion_431,,,,Flete Entrega Prendas Encom,,avion_423,current,Payable,payable
VERDADERO,Demo AVION,,420409000,avion_432,,,,Rodados Gasoil,,avion_423,current,Payable,payable
VERDADERO,Demo AVION,,420410000,avion_433,,,,Rodados Reparaciones,,avion_423,current,Payable,payable
VERDADERO,Demo AVION,,420411000,avion_434,,,,Seguros Vehiculos,,avion_423,current,Payable,payable
VERDADERO,Demo AVION,,420412000,avion_435,,,,Impuestos  Automotor Patente,,avion_423,current,Payable,payable
VERDADERO,Demo AVION,,420413000,avion_436,,,,Lavadero Rodados,,avion_423,current,Payable,payable
VERDADERO,Demo AVION,,420414000,avion_437,,,,Aceites y Lubricantes,,avion_423,current,Payable,payable
VERDADERO,Demo AVION,,4205*,avion_438,,,,GASTOS DE ADMINISTRACION,,avion_373,current,View,view
